TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargVert,CalOrdID
1,1,1,0,2,0,1
2,2,1,0,1,0,1
3,3,1,0,3,0,1
4,4,1,0,4,0,1
5,5,1,0,6,0,1
6,6,1,0,5,0,1
7,1,2,1,2,0,1
8,2,2,1,1,0,1
9,3,2,1,3,0,1
10,4,2,1,4,0,1
11,5,2,1,6,0,1
12,6,2,1,5,0,1
13,1,3,0,2,0,1
14,2,3,0,3,0,1
15,3,3,0,4,0,1
16,4,3,0,5,0,1
17,5,3,0,6,0,1
18,6,3,0,1,0,1
19,1,4,1,2,0,1
20,2,4,1,3,0,1
21,3,4,1,4,0,1
22,4,4,1,5,0,1
23,5,4,1,6,0,1
24,6,4,1,1,0,1
25,1,5,0,3,0,1
26,2,5,0,2,0,1
27,3,5,0,1,0,1
28,4,5,0,6,0,1
29,5,5,0,5,0,1
30,6,5,0,4,0,1
31,1,6,1,3,0,1
32,2,6,1,2,0,1
33,3,6,1,1,0,1
34,4,6,1,6,0,1
35,5,6,1,5,0,1
36,6,6,1,4,0,1
37,1,7,0,2,0,1
38,2,7,0,6,0,1
39,3,7,0,4,0,1
40,4,7,0,1,0,1
41,5,7,0,5,0,1
42,6,7,0,3,0,1
43,1,8,1,2,0,1
44,2,8,1,6,0,1
45,3,8,1,4,0,1
46,4,8,1,1,0,1
47,5,8,1,5,0,1
48,6,8,1,3,0,1
49,1,9,0,2,1,1
50,2,9,0,1,1,1
51,3,9,0,3,1,1
52,4,9,0,4,1,1
53,5,9,0,6,1,1
54,6,9,0,5,1,1
55,1,10,1,2,1,1
56,2,10,1,1,1,1
57,3,10,1,3,1,1
58,4,10,1,4,1,1
59,5,10,1,6,1,1
60,6,10,1,5,1,1
61,1,11,0,2,1,1
62,2,11,0,3,1,1
63,3,11,0,4,1,1
64,4,11,0,5,1,1
65,5,11,0,6,1,1
66,6,11,0,1,1,1
67,1,12,1,2,1,1
68,2,12,1,3,1,1
69,3,12,1,4,1,1
70,4,12,1,5,1,1
71,5,12,1,6,1,1
72,6,12,1,1,1,1
73,1,13,0,3,1,1
74,2,13,0,2,1,1
75,3,13,0,1,1,1
76,4,13,0,6,1,1
77,5,13,0,5,1,1
78,6,13,0,4,1,1
79,1,14,1,3,1,1
80,2,14,1,2,1,1
81,3,14,1,1,1,1
82,4,14,1,6,1,1
83,5,14,1,5,1,1
84,6,14,1,4,1,1
85,1,15,0,2,1,1
86,2,15,0,6,1,1
87,3,15,0,4,1,1
88,4,15,0,1,1,1
89,5,15,0,5,1,1
90,6,15,0,3,1,1
91,1,16,1,2,1,1
92,2,16,1,6,1,1
93,3,16,1,4,1,1
94,4,16,1,1,1,1
95,5,16,1,5,1,1
96,6,16,1,3,1,1
