TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,5,2
2,2,1,0,3,2
3,3,1,0,1,2
4,4,1,0,6,2
5,5,1,0,8,2
6,6,1,0,10,2
7,7,1,0,4,2
8,8,1,0,2,2
9,9,1,0,7,2
10,10,1,0,9,2
11,11,1,0,3,2
12,12,1,0,1,2
13,13,1,0,6,2
14,14,1,0,8,2
15,15,1,0,10,2
16,16,1,0,4,2
17,17,1,0,2,2
18,18,1,0,7,2
19,19,1,0,9,2
20,20,1,0,5,2
21,21,1,0,1,2
22,22,1,0,6,2
23,23,1,0,8,2
24,24,1,0,10,2
25,25,1,0,4,2
26,26,1,0,2,2
27,27,1,0,7,2
28,28,1,0,9,2
29,29,1,0,5,2
30,30,1,0,3,2
31,31,1,0,6,2
32,32,1,0,8,2
33,33,1,0,10,2
34,34,1,0,4,2
35,35,1,0,2,2
36,36,1,0,7,2
37,37,1,0,9,2
38,38,1,0,5,2
39,39,1,0,3,2
40,40,1,0,1,2
41,41,1,0,8,2
42,42,1,0,10,2
43,43,1,0,4,2
44,44,1,0,2,2
45,45,1,0,7,2
46,46,1,0,9,2
47,47,1,0,5,2
48,48,1,0,3,2
49,49,1,0,1,2
50,50,1,0,6,2
51,1,2,0,10,2
52,2,2,0,4,2
53,3,2,0,2,2
54,4,2,0,7,2
55,5,2,0,9,2
56,6,2,0,5,2
57,7,2,0,3,2
58,8,2,0,1,2
59,9,2,0,6,2
60,10,2,0,8,2
61,11,2,0,4,2
62,12,2,0,2,2
63,13,2,0,7,2
64,14,2,0,9,2
65,15,2,0,5,2
66,16,2,0,3,2
67,17,2,0,1,2
68,18,2,0,6,2
69,19,2,0,8,2
70,20,2,0,10,2
71,21,2,0,2,2
72,22,2,0,7,2
73,23,2,0,9,2
74,24,2,0,5,2
75,25,2,0,3,2
76,26,2,0,1,2
77,27,2,0,6,2
78,28,2,0,8,2
79,29,2,0,10,2
80,30,2,0,4,2
81,31,2,0,7,2
82,32,2,0,9,2
83,33,2,0,5,2
84,34,2,0,3,2
85,35,2,0,1,2
86,36,2,0,6,2
87,37,2,0,8,2
88,38,2,0,10,2
89,39,2,0,4,2
90,40,2,0,2,2
91,41,2,0,9,2
92,42,2,0,5,2
93,43,2,0,3,2
94,44,2,0,1,2
95,45,2,0,6,2
96,46,2,0,8,2
97,47,2,0,10,2
98,48,2,0,4,2
99,49,2,0,2,2
100,50,2,0,7,2
101,1,3,0,5,1
102,2,3,0,3,1
103,3,3,0,1,1
104,4,3,0,6,1
105,5,3,0,8,1
106,6,3,0,10,1
107,7,3,0,4,1
108,8,3,0,2,1
109,9,3,0,7,1
110,10,3,0,9,1
111,11,3,0,3,1
112,12,3,0,1,1
113,13,3,0,6,1
114,14,3,0,8,1
115,15,3,0,10,1
116,16,3,0,4,1
117,17,3,0,2,1
118,18,3,0,7,1
119,19,3,0,9,1
120,20,3,0,5,1
121,21,3,0,1,1
122,22,3,0,6,1
123,23,3,0,8,1
124,24,3,0,10,1
125,25,3,0,4,1
126,26,3,0,2,1
127,27,3,0,7,1
128,28,3,0,9,1
129,29,3,0,5,1
130,30,3,0,3,1
131,31,3,0,6,1
132,32,3,0,8,1
133,33,3,0,10,1
134,34,3,0,4,1
135,35,3,0,2,1
136,36,3,0,7,1
137,37,3,0,9,1
138,38,3,0,5,1
139,39,3,0,3,1
140,40,3,0,1,1
141,41,3,0,8,1
142,42,3,0,10,1
143,43,3,0,4,1
144,44,3,0,2,1
145,45,3,0,7,1
146,46,3,0,9,1
147,47,3,0,5,1
148,48,3,0,3,1
149,49,3,0,1,1
150,50,3,0,6,1
151,1,4,0,10,1
152,2,4,0,4,1
153,3,4,0,2,1
154,4,4,0,7,1
155,5,4,0,9,1
156,6,4,0,5,1
157,7,4,0,3,1
158,8,4,0,1,1
159,9,4,0,6,1
160,10,4,0,8,1
161,11,4,0,4,1
162,12,4,0,2,1
163,13,4,0,7,1
164,14,4,0,9,1
165,15,4,0,5,1
166,16,4,0,3,1
167,17,4,0,1,1
168,18,4,0,6,1
169,19,4,0,8,1
170,20,4,0,10,1
171,21,4,0,2,1
172,22,4,0,7,1
173,23,4,0,9,1
174,24,4,0,5,1
175,25,4,0,3,1
176,26,4,0,1,1
177,27,4,0,6,1
178,28,4,0,8,1
179,29,4,0,10,1
180,30,4,0,4,1
181,31,4,0,7,1
182,32,4,0,9,1
183,33,4,0,5,1
184,34,4,0,3,1
185,35,4,0,1,1
186,36,4,0,6,1
187,37,4,0,8,1
188,38,4,0,10,1
189,39,4,0,4,1
190,40,4,0,2,1
191,41,4,0,9,1
192,42,4,0,5,1
193,43,4,0,3,1
194,44,4,0,1,1
195,45,4,0,6,1
196,46,4,0,8,1
197,47,4,0,10,1
198,48,4,0,4,1
199,49,4,0,2,1
200,50,4,0,7,1
201,1,5,0,5,0
202,2,5,0,3,0
203,3,5,0,1,0
204,4,5,0,6,0
205,5,5,0,8,0
206,6,5,0,10,0
207,7,5,0,4,0
208,8,5,0,2,0
209,9,5,0,7,0
210,10,5,0,9,0
211,11,5,0,3,0
212,12,5,0,1,0
213,13,5,0,6,0
214,14,5,0,8,0
215,15,5,0,10,0
216,16,5,0,4,0
217,17,5,0,2,0
218,18,5,0,7,0
219,19,5,0,9,0
220,20,5,0,5,0
221,21,5,0,1,0
222,22,5,0,6,0
223,23,5,0,8,0
224,24,5,0,10,0
225,25,5,0,4,0
226,26,5,0,2,0
227,27,5,0,7,0
228,28,5,0,9,0
229,29,5,0,5,0
230,30,5,0,3,0
231,31,5,0,6,0
232,32,5,0,8,0
233,33,5,0,10,0
234,34,5,0,4,0
235,35,5,0,2,0
236,36,5,0,7,0
237,37,5,0,9,0
238,38,5,0,5,0
239,39,5,0,3,0
240,40,5,0,1,0
241,41,5,0,8,0
242,42,5,0,10,0
243,43,5,0,4,0
244,44,5,0,2,0
245,45,5,0,7,0
246,46,5,0,9,0
247,47,5,0,5,0
248,48,5,0,3,0
249,49,5,0,1,0
250,50,5,0,6,0
251,1,6,0,10,0
252,2,6,0,4,0
253,3,6,0,2,0
254,4,6,0,7,0
255,5,6,0,9,0
256,6,6,0,5,0
257,7,6,0,3,0
258,8,6,0,1,0
259,9,6,0,6,0
260,10,6,0,8,0
261,11,6,0,4,0
262,12,6,0,2,0
263,13,6,0,7,0
264,14,6,0,9,0
265,15,6,0,5,0
266,16,6,0,3,0
267,17,6,0,1,0
268,18,6,0,6,0
269,19,6,0,8,0
270,20,6,0,10,0
271,21,6,0,2,0
272,22,6,0,7,0
273,23,6,0,9,0
274,24,6,0,5,0
275,25,6,0,3,0
276,26,6,0,1,0
277,27,6,0,6,0
278,28,6,0,8,0
279,29,6,0,10,0
280,30,6,0,4,0
281,31,6,0,7,0
282,32,6,0,9,0
283,33,6,0,5,0
284,34,6,0,3,0
285,35,6,0,1,0
286,36,6,0,6,0
287,37,6,0,8,0
288,38,6,0,10,0
289,39,6,0,4,0
290,40,6,0,2,0
291,41,6,0,9,0
292,42,6,0,5,0
293,43,6,0,3,0
294,44,6,0,1,0
295,45,6,0,6,0
296,46,6,0,8,0
297,47,6,0,10,0
298,48,6,0,4,0
299,49,6,0,2,0
300,50,6,0,7,0
