TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,7,0
2,2,1,0,1,0
3,3,1,0,9,0
4,4,1,0,3,0
5,5,1,0,6,0
6,6,1,0,5,0
7,1,2,1,1,0
8,2,2,1,9,0
9,3,2,1,3,0
10,4,2,1,6,0
11,5,2,1,5,0
12,6,2,1,7,0
13,1,3,0,9,0
14,2,3,0,3,0
15,3,3,0,6,0
16,4,3,0,5,0
17,5,3,0,7,0
18,6,3,0,1,0
19,1,4,1,7,1
20,2,4,1,1,1
21,3,4,1,9,1
22,4,4,1,3,1
23,5,4,1,6,1
24,6,4,1,5,1
25,1,5,0,1,1
26,2,5,0,9,1
27,3,5,0,3,1
28,4,5,0,6,1
29,5,5,0,5,1
30,6,5,0,7,1
31,1,6,1,9,1
32,2,6,1,3,1
33,3,6,1,6,1
34,4,6,1,5,1
35,5,6,1,7,1
36,6,6,1,1,1
