TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,2,0
2,2,1,0,1,0
3,3,1,0,4,0
4,4,1,0,3,0
5,5,1,0,6,0
6,6,1,0,5,0
7,1,2,0,1,0
8,2,2,0,4,0
9,3,2,0,3,0
10,4,2,0,6,0
11,5,2,0,5,0
12,6,2,0,2,0
13,1,3,0,4,0
14,2,3,0,3,0
15,3,3,0,6,0
16,4,3,0,5,0
17,5,3,0,2,0
18,6,3,0,1,0
19,1,4,0,3,0
20,2,4,0,6,0
21,3,4,0,5,0
22,4,4,0,2,0
23,5,4,0,1,0
24,6,4,0,4,0
25,1,5,0,6,0
26,2,5,0,5,0
27,3,5,0,2,0
28,4,5,0,1,0
29,5,5,0,4,0
30,6,5,0,3,0
31,1,6,0,5,0
32,2,6,0,2,0
33,3,6,0,1,0
34,4,6,0,4,0
35,5,6,0,3,0
36,6,6,0,6,0
37,1,7,0,2,0
38,2,7,0,1,0
39,3,7,0,4,0
40,4,7,0,3,0
41,5,7,0,6,0
42,6,7,0,5,0
43,1,8,0,1,0
44,2,8,0,4,0
45,3,8,0,3,0
46,4,8,0,6,0
47,5,8,0,5,0
48,6,8,0,2,0
49,1,9,0,4,0
50,2,9,0,3,0
51,3,9,0,6,0
52,4,9,0,5,0
53,5,9,0,2,0
54,6,9,0,1,0
55,1,10,0,3,0
56,2,10,0,6,0
57,3,10,0,5,0
58,4,10,0,2,0
59,5,10,0,1,0
60,6,10,0,4,0
61,1,11,0,6,0
62,2,11,0,5,0
63,3,11,0,2,0
64,4,11,0,1,0
65,5,11,0,4,0
66,6,11,0,3,0
67,1,12,0,5,0
68,2,12,0,2,0
69,3,12,0,1,0
70,4,12,0,4,0
71,5,12,0,3,0
72,6,12,0,6,0
73,1,13,0,2,1
74,2,13,0,1,1
75,3,13,0,4,1
76,4,13,0,3,1
77,5,13,0,6,1
78,6,13,0,5,1
79,1,14,0,1,1
80,2,14,0,4,1
81,3,14,0,3,1
82,4,14,0,6,1
83,5,14,0,5,1
84,6,14,0,2,1
85,1,15,0,4,1
86,2,15,0,3,1
87,3,15,0,6,1
88,4,15,0,5,1
89,5,15,0,2,1
90,6,15,0,1,1
91,1,16,0,3,1
92,2,16,0,6,1
93,3,16,0,5,1
94,4,16,0,2,1
95,5,16,0,1,1
96,6,16,0,4,1
97,1,17,0,6,1
98,2,17,0,5,1
99,3,17,0,2,1
100,4,17,0,1,1
101,5,17,0,4,1
102,6,17,0,3,1
103,1,18,0,5,1
104,2,18,0,2,1
105,3,18,0,1,1
106,4,18,0,4,1
107,5,18,0,3,1
108,6,18,0,6,1
109,1,19,0,2,1
110,2,19,0,1,1
111,3,19,0,4,1
112,4,19,0,3,1
113,5,19,0,6,1
114,6,19,0,5,1
115,1,20,0,1,1
116,2,20,0,4,1
117,3,20,0,3,1
118,4,20,0,6,1
119,5,20,0,5,1
120,6,20,0,2,1
121,1,21,0,4,1
122,2,21,0,3,1
123,3,21,0,6,1
124,4,21,0,5,1
125,5,21,0,2,1
126,6,21,0,1,1
127,1,22,0,3,1
128,2,22,0,6,1
129,3,22,0,5,1
130,4,22,0,2,1
131,5,22,0,1,1
132,6,22,0,4,1
133,1,23,0,6,1
134,2,23,0,5,1
135,3,23,0,2,1
136,4,23,0,1,1
137,5,23,0,4,1
138,6,23,0,3,1
139,1,24,0,5,1
140,2,24,0,2,1
141,3,24,0,1,1
142,4,24,0,4,1
143,5,24,0,3,1
144,6,24,0,6,1
145,1,25,0,2,2
146,2,25,0,1,2
147,3,25,0,4,2
148,4,25,0,3,2
149,5,25,0,6,2
150,6,25,0,5,2
151,1,26,0,1,2
152,2,26,0,4,2
153,3,26,0,3,2
154,4,26,0,6,2
155,5,26,0,5,2
156,6,26,0,2,2
157,1,27,0,4,2
158,2,27,0,3,2
159,3,27,0,6,2
160,4,27,0,5,2
161,5,27,0,2,2
162,6,27,0,1,2
163,1,28,0,3,2
164,2,28,0,6,2
165,3,28,0,5,2
166,4,28,0,2,2
167,5,28,0,1,2
168,6,28,0,4,2
169,1,29,0,6,2
170,2,29,0,5,2
171,3,29,0,2,2
172,4,29,0,1,2
173,5,29,0,4,2
174,6,29,0,3,2
175,1,30,0,5,2
176,2,30,0,2,2
177,3,30,0,1,2
178,4,30,0,4,2
179,5,30,0,3,2
180,6,30,0,6,2
181,1,31,0,2,2
182,2,31,0,1,2
183,3,31,0,4,2
184,4,31,0,3,2
185,5,31,0,6,2
186,6,31,0,5,2
187,1,32,0,1,2
188,2,32,0,4,2
189,3,32,0,3,2
190,4,32,0,6,2
191,5,32,0,5,2
192,6,32,0,2,2
193,1,33,0,4,2
194,2,33,0,3,2
195,3,33,0,6,2
196,4,33,0,5,2
197,5,33,0,2,2
198,6,33,0,1,2
199,1,34,0,3,2
200,2,34,0,6,2
201,3,34,0,5,2
202,4,34,0,2,2
203,5,34,0,1,2
204,6,34,0,4,2
205,1,35,0,6,2
206,2,35,0,5,2
207,3,35,0,2,2
208,4,35,0,1,2
209,5,35,0,4,2
210,6,35,0,3,2
211,1,36,0,5,2
212,2,36,0,2,2
213,3,36,0,1,2
214,4,36,0,4,2
215,5,36,0,3,2
216,6,36,0,6,2
