TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,2,2
2,2,1,0,1,2
3,3,1,0,4,2
4,4,1,0,3,2
5,5,1,0,6,2
6,6,1,0,5,2
7,1,2,0,1,2
8,2,2,0,4,2
9,3,2,0,3,2
10,4,2,0,6,2
11,5,2,0,5,2
12,6,2,0,2,2
13,1,3,0,4,2
14,2,3,0,3,2
15,3,3,0,6,2
16,4,3,0,5,2
17,5,3,0,2,2
18,6,3,0,1,2
19,1,4,0,3,2
20,2,4,0,6,2
21,3,4,0,5,2
22,4,4,0,2,2
23,5,4,0,1,2
24,6,4,0,4,2
25,1,5,0,6,2
26,2,5,0,5,2
27,3,5,0,2,2
28,4,5,0,1,2
29,5,5,0,4,2
30,6,5,0,3,2
31,1,6,0,5,2
32,2,6,0,2,2
33,3,6,0,1,2
34,4,6,0,4,2
35,5,6,0,3,2
36,6,6,0,6,2
37,1,7,0,2,2
38,2,7,0,1,2
39,3,7,0,4,2
40,4,7,0,3,2
41,5,7,0,6,2
42,6,7,0,5,2
43,1,8,0,1,2
44,2,8,0,4,2
45,3,8,0,3,2
46,4,8,0,6,2
47,5,8,0,5,2
48,6,8,0,2,2
49,1,9,0,4,2
50,2,9,0,3,2
51,3,9,0,6,2
52,4,9,0,5,2
53,5,9,0,2,2
54,6,9,0,1,2
55,1,10,0,3,2
56,2,10,0,6,2
57,3,10,0,5,2
58,4,10,0,2,2
59,5,10,0,1,2
60,6,10,0,4,2
61,1,11,0,6,2
62,2,11,0,5,2
63,3,11,0,2,2
64,4,11,0,1,2
65,5,11,0,4,2
66,6,11,0,3,2
67,1,12,0,5,2
68,2,12,0,2,2
69,3,12,0,1,2
70,4,12,0,4,2
71,5,12,0,3,2
72,6,12,0,6,2
73,1,13,0,2,1
74,2,13,0,1,1
75,3,13,0,4,1
76,4,13,0,3,1
77,5,13,0,6,1
78,6,13,0,5,1
79,1,14,0,1,1
80,2,14,0,4,1
81,3,14,0,3,1
82,4,14,0,6,1
83,5,14,0,5,1
84,6,14,0,2,1
85,1,15,0,4,1
86,2,15,0,3,1
87,3,15,0,6,1
88,4,15,0,5,1
89,5,15,0,2,1
90,6,15,0,1,1
91,1,16,0,3,1
92,2,16,0,6,1
93,3,16,0,5,1
94,4,16,0,2,1
95,5,16,0,1,1
96,6,16,0,4,1
97,1,17,0,6,1
98,2,17,0,5,1
99,3,17,0,2,1
100,4,17,0,1,1
101,5,17,0,4,1
102,6,17,0,3,1
103,1,18,0,5,1
104,2,18,0,2,1
105,3,18,0,1,1
106,4,18,0,4,1
107,5,18,0,3,1
108,6,18,0,6,1
109,1,19,0,2,1
110,2,19,0,1,1
111,3,19,0,4,1
112,4,19,0,3,1
113,5,19,0,6,1
114,6,19,0,5,1
115,1,20,0,1,1
116,2,20,0,4,1
117,3,20,0,3,1
118,4,20,0,6,1
119,5,20,0,5,1
120,6,20,0,2,1
121,1,21,0,4,1
122,2,21,0,3,1
123,3,21,0,6,1
124,4,21,0,5,1
125,5,21,0,2,1
126,6,21,0,1,1
127,1,22,0,3,1
128,2,22,0,6,1
129,3,22,0,5,1
130,4,22,0,2,1
131,5,22,0,1,1
132,6,22,0,4,1
133,1,23,0,6,1
134,2,23,0,5,1
135,3,23,0,2,1
136,4,23,0,1,1
137,5,23,0,4,1
138,6,23,0,3,1
139,1,24,0,5,1
140,2,24,0,2,1
141,3,24,0,1,1
142,4,24,0,4,1
143,5,24,0,3,1
144,6,24,0,6,1
145,1,25,0,2,0
146,2,25,0,1,0
147,3,25,0,4,0
148,4,25,0,3,0
149,5,25,0,6,0
150,6,25,0,5,0
151,1,26,0,1,0
152,2,26,0,4,0
153,3,26,0,3,0
154,4,26,0,6,0
155,5,26,0,5,0
156,6,26,0,2,0
157,1,27,0,4,0
158,2,27,0,3,0
159,3,27,0,6,0
160,4,27,0,5,0
161,5,27,0,2,0
162,6,27,0,1,0
163,1,28,0,3,0
164,2,28,0,6,0
165,3,28,0,5,0
166,4,28,0,2,0
167,5,28,0,1,0
168,6,28,0,4,0
169,1,29,0,6,0
170,2,29,0,5,0
171,3,29,0,2,0
172,4,29,0,1,0
173,5,29,0,4,0
174,6,29,0,3,0
175,1,30,0,5,0
176,2,30,0,2,0
177,3,30,0,1,0
178,4,30,0,4,0
179,5,30,0,3,0
180,6,30,0,6,0
181,1,31,0,2,0
182,2,31,0,1,0
183,3,31,0,4,0
184,4,31,0,3,0
185,5,31,0,6,0
186,6,31,0,5,0
187,1,32,0,1,0
188,2,32,0,4,0
189,3,32,0,3,0
190,4,32,0,6,0
191,5,32,0,5,0
192,6,32,0,2,0
193,1,33,0,4,0
194,2,33,0,3,0
195,3,33,0,6,0
196,4,33,0,5,0
197,5,33,0,2,0
198,6,33,0,1,0
199,1,34,0,3,0
200,2,34,0,6,0
201,3,34,0,5,0
202,4,34,0,2,0
203,5,34,0,1,0
204,6,34,0,4,0
205,1,35,0,6,0
206,2,35,0,5,0
207,3,35,0,2,0
208,4,35,0,1,0
209,5,35,0,4,0
210,6,35,0,3,0
211,1,36,0,5,0
212,2,36,0,2,0
213,3,36,0,1,0
214,4,36,0,4,0
215,5,36,0,3,0
216,6,36,0,6,0
