TrialNum,TrialNumInBlock,BlockNum,BlockMarkersOn,TrialTargetNum,TargDirID
1,1,1,0,2,1
2,2,1,0,1,1
3,3,1,0,4,1
4,4,1,0,3,1
5,5,1,0,6,1
6,6,1,0,5,1
7,1,2,0,1,1
8,2,2,0,4,1
9,3,2,0,3,1
10,4,2,0,6,1
11,5,2,0,5,1
12,6,2,0,2,1
13,1,3,0,4,1
14,2,3,0,3,1
15,3,3,0,6,1
16,4,3,0,5,1
17,5,3,0,2,1
18,6,3,0,1,1
19,1,4,0,3,1
20,2,4,0,6,1
21,3,4,0,5,1
22,4,4,0,2,1
23,5,4,0,1,1
24,6,4,0,4,1
25,1,5,0,6,1
26,2,5,0,5,1
27,3,5,0,2,1
28,4,5,0,1,1
29,5,5,0,4,1
30,6,5,0,3,1
31,1,6,0,5,1
32,2,6,0,2,1
33,3,6,0,1,1
34,4,6,0,4,1
35,5,6,0,3,1
36,6,6,0,6,1
37,1,7,0,2,1
38,2,7,0,1,1
39,3,7,0,4,1
40,4,7,0,3,1
41,5,7,0,6,1
42,6,7,0,5,1
43,1,8,0,1,1
44,2,8,0,4,1
45,3,8,0,3,1
46,4,8,0,6,1
47,5,8,0,5,1
48,6,8,0,2,1
49,1,9,0,4,1
50,2,9,0,3,1
51,3,9,0,6,1
52,4,9,0,5,1
53,5,9,0,2,1
54,6,9,0,1,1
55,1,10,0,3,1
56,2,10,0,6,1
57,3,10,0,5,1
58,4,10,0,2,1
59,5,10,0,1,1
60,6,10,0,4,1
61,1,11,0,6,1
62,2,11,0,5,1
63,3,11,0,2,1
64,4,11,0,1,1
65,5,11,0,4,1
66,6,11,0,3,1
67,1,12,0,5,1
68,2,12,0,2,1
69,3,12,0,1,1
70,4,12,0,4,1
71,5,12,0,3,1
72,6,12,0,6,1
73,1,13,0,2,0
74,2,13,0,1,0
75,3,13,0,4,0
76,4,13,0,3,0
77,5,13,0,6,0
78,6,13,0,5,0
79,1,14,0,1,0
80,2,14,0,4,0
81,3,14,0,3,0
82,4,14,0,6,0
83,5,14,0,5,0
84,6,14,0,2,0
85,1,15,0,4,0
86,2,15,0,3,0
87,3,15,0,6,0
88,4,15,0,5,0
89,5,15,0,2,0
90,6,15,0,1,0
91,1,16,0,3,0
92,2,16,0,6,0
93,3,16,0,5,0
94,4,16,0,2,0
95,5,16,0,1,0
96,6,16,0,4,0
97,1,17,0,6,0
98,2,17,0,5,0
99,3,17,0,2,0
100,4,17,0,1,0
101,5,17,0,4,0
102,6,17,0,3,0
103,1,18,0,5,0
104,2,18,0,2,0
105,3,18,0,1,0
106,4,18,0,4,0
107,5,18,0,3,0
108,6,18,0,6,0
109,1,19,0,2,0
110,2,19,0,1,0
111,3,19,0,4,0
112,4,19,0,3,0
113,5,19,0,6,0
114,6,19,0,5,0
115,1,20,0,1,0
116,2,20,0,4,0
117,3,20,0,3,0
118,4,20,0,6,0
119,5,20,0,5,0
120,6,20,0,2,0
121,1,21,0,4,0
122,2,21,0,3,0
123,3,21,0,6,0
124,4,21,0,5,0
125,5,21,0,2,0
126,6,21,0,1,0
127,1,22,0,3,0
128,2,22,0,6,0
129,3,22,0,5,0
130,4,22,0,2,0
131,5,22,0,1,0
132,6,22,0,4,0
133,1,23,0,6,0
134,2,23,0,5,0
135,3,23,0,2,0
136,4,23,0,1,0
137,5,23,0,4,0
138,6,23,0,3,0
139,1,24,0,5,0
140,2,24,0,2,0
141,3,24,0,1,0
142,4,24,0,4,0
143,5,24,0,3,0
144,6,24,0,6,0
145,1,25,0,2,2
146,2,25,0,1,2
147,3,25,0,4,2
148,4,25,0,3,2
149,5,25,0,6,2
150,6,25,0,5,2
151,1,26,0,1,2
152,2,26,0,4,2
153,3,26,0,3,2
154,4,26,0,6,2
155,5,26,0,5,2
156,6,26,0,2,2
157,1,27,0,4,2
158,2,27,0,3,2
159,3,27,0,6,2
160,4,27,0,5,2
161,5,27,0,2,2
162,6,27,0,1,2
163,1,28,0,3,2
164,2,28,0,6,2
165,3,28,0,5,2
166,4,28,0,2,2
167,5,28,0,1,2
168,6,28,0,4,2
169,1,29,0,6,2
170,2,29,0,5,2
171,3,29,0,2,2
172,4,29,0,1,2
173,5,29,0,4,2
174,6,29,0,3,2
175,1,30,0,5,2
176,2,30,0,2,2
177,3,30,0,1,2
178,4,30,0,4,2
179,5,30,0,3,2
180,6,30,0,6,2
181,1,31,0,2,2
182,2,31,0,1,2
183,3,31,0,4,2
184,4,31,0,3,2
185,5,31,0,6,2
186,6,31,0,5,2
187,1,32,0,1,2
188,2,32,0,4,2
189,3,32,0,3,2
190,4,32,0,6,2
191,5,32,0,5,2
192,6,32,0,2,2
193,1,33,0,4,2
194,2,33,0,3,2
195,3,33,0,6,2
196,4,33,0,5,2
197,5,33,0,2,2
198,6,33,0,1,2
199,1,34,0,3,2
200,2,34,0,6,2
201,3,34,0,5,2
202,4,34,0,2,2
203,5,34,0,1,2
204,6,34,0,4,2
205,1,35,0,6,2
206,2,35,0,5,2
207,3,35,0,2,2
208,4,35,0,1,2
209,5,35,0,4,2
210,6,35,0,3,2
211,1,36,0,5,2
212,2,36,0,2,2
213,3,36,0,1,2
214,4,36,0,4,2
215,5,36,0,3,2
216,6,36,0,6,2
